landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0.31,0,0.63,0,0
crop,0.53,0,0.79,0,0
grass,0.17,0,0.46,0.1,0
moss,0.54,0,0.54,0,0
shrub,0.18,0,0.72,0.1,0
tree,0.6,0,0.32,0.1,0
snow,0,0,0,0,0
urban,0.35,0,0.43,0,0
water_perm,0.91,0,0,0,0
water_seas,0.87,0,0,0,0
