landcover,guild,nesting_max,floral,biome
Bare,bombus,0.17740274965763092,0.247004896402359,all
BuiltUp,bombus,0.9540839046239853,0.7495489120483398,all
Crops,bombus,0.18673062324523926,0.48042240738868713,all
Grass,bombus,0.20200322568416595,0.7562824636697769,all
MossLichen,bombus,0.5276966840028763,0.55929134786129,all
Shrub,bombus,0.06895226240158081,0.05137251317501068,all
Tree,bombus,0.549429252743721,0.11355160176753998,all
PermanentWater,bombus,0,0,all
SeasonalWater,bombus,0,0,all
