landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0,0.37,0.3,0,0
crop,0,0.59,0.26,0,0
grass,0,0.88,0.79,0.1,0
moss,0,0.47,0.54,0,0
shrub,0,0.15,0.06,0.1,0
tree,0,0.2,0.91,0.1,0
snow,0,0,0,0,0
urban,0,0.71,0.04,0,0
water_perm,0,0,0,0,0
water_seas,0,0,0,0,0
