landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0,0.49,0.45,0,0
crop,0,0.85,0.93,0,0
grass,0,0.26,0.31,0.1,0
moss,0,0.48,0.52,0,0
shrub,0,0.18,0.3,0.1,0
tree,0,0.45,0.43,0.1,0
snow,0,0,0,0,0
urban,0,0.42,0.48,0,0
water_perm,0,0,0,0,0
water_seas,0,0,0,0,0
