landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0,0.5,0.67,0,0
crop,0,0.29,0.33,0,0
grass,0,0.61,0.62,0.1,0
moss,0,0.54,0.41,0,0
shrub,0,0.63,0.65,0.1,0
tree,0,0.57,0.58,0.1,0
snow,0,0,0,0,0
urban,0,0.52,0.46,0,0
water_perm,0,0,0,0,0
water_seas,0,0,0,0,0
