"study_id","site_id","latitude","longitude","startDate","endDate","refYear"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","13",-1.42478334903717,120.361213684082,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","14",-1.41308331489563,120.345634460449,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","15",-1.41065001487732,120.350151062012,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","16",-1.43859994411469,120.307067871094,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","17",-1.46283328533173,120.313636779785,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","18",-1.46106672286987,120.312347412109,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","19",-1.39013338088989,120.315200805664,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","20",-1.39849996566772,120.326629638672,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","21",-1.40248334407806,120.34058380127,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","22",-1.41196668148041,120.311965942383,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","23",-1.39806663990021,120.328948974609,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_arabica_Indonesia_2000_2001","24",-1.42435002326965,120.359436035156,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","1",-1.47777771949768,120.348480224609,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","6",-1.40625,120.357147216797,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","7",-1.41041672229767,120.305870056152,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","8",-1.42980003356934,120.312019348145,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","9",-1.42883336544037,120.306999206543,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","10",-1.40456664562225,120.349014282227,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","12",-1.4412499666214,120.308334350586,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","14",-1.41308331489563,120.345634460449,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","16",-1.43859994411469,120.307067871094,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","18",-1.46106672286987,120.312347412109,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","19",-1.39013338088989,120.315200805664,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","20",-1.39849996566772,120.326629638672,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","21",-1.40248334407806,120.34058380127,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","23",-1.39806663990021,120.328948974609,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Coffea_canephora_Indonesia_2000_2001","24",-1.42435002326965,120.359436035156,"2000-10-01","2001-07-01","2001"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Abele",38.9252911437503,-122.068090353596,"2008-02-01","2008-03-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Banes",38.9353685460705,-121.999833407943,"2008-02-01","2008-03-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Barth",38.7258248221338,-122.01146493328,"2008-02-01","2008-03-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Bramlett",38.8910910498556,-122.229448079129,"2008-02-01","2008-03-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Cotters",38.9029957375903,-121.970524471778,"2008-02-01","2008-03-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Etters",38.764402238305,-122.159695024586,"2008-03-01","2008-03-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","Fullbelly",38.8700469835644,-122.230514053249,"2008-02-01","2008-02-01","2008"
"Alexandra_Maria_Klein_Prunus_dulcis_USA_2008","KB 1",39.0508200265341,-122.160076791978,"2008-02-01","2008-03-01","2008"
