variables,VIF
bio01,9.228798418995286
bio02,5.033039547752519
bio05,9.19781196387208
bio08,2.3219006933896544
bio14,1.7767129558761072
ec,6.344870930908524
elevation,3.512957977092632
es,2.539556755575092
gHM,2.265556600727555
pdsi,1.5768003667062338
soil_den_b10,2.5055334169050405
moss,1.326773403399878
shrub,2.0698896291000195
management,1.344391561531606
