guild,nesting ground,nesting wood,nesting stem,nesting cavity,flight spring,flight summer,flight autumn,flight winter,flight distance,relative importance
small,0.33,0.33,0.33,0,0.6,0.3,0,0.1,500,5
large,0,0,0,1,0.6,0.3,0,0.1,3000,1
