landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0.85,0.4,0.85,0,0
crop,0.35,0.8,0.35,0,0
grass,0.85,0.55,0.85,0.1,0
moss,0.9,0.9,0.9,0,0
shrub,1,0.25,1,0.1,0
tree,0.35,0.25,0.35,0.1,0
snow,0,0,0,0,0
urban,0.45,0.6,0.45,0,0
water_perm,0,0,0,0,0
water_seas,0,0,0,0,0
