landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0.4,0,0.46,0,0
crop,0.68,0,0.18,0,0
grass,0.56,0,0.61,0.1,0
moss,0.54,0,0.51,0,0
shrub,0.55,0,0.38,0.1,0
tree,0.51,0,0.6,0.1,0
snow,0,0,0,0,0
urban,0.4,0,0.64,0,0
water_perm,0.66,0,0,0,0
water_seas,0.56,0,0,0,0
