landcover,nesting ground and wood,nesting cavity,floral,management floral,management nesting
bare,0.4,0,0.42,0,0
crop,0.33,0,0.27,0,0
grass,0.57,0,0.59,0.1,0
moss,0.47,0,0.44,0,0
shrub,0.64,0,0.66,0.1,0
tree,0.63,0,0.53,0.1,0
snow,0,0,0,0,0
urban,0.7,0,0.64,0,0
water_perm,0.48,0,0,0,0
water_seas,0.06,0,0,0,0
