model,best_params,best_score
GradientBoostingRegressor(),"{'alpha': 0.9472203196455478, 'ccp_alpha': 0.07682789082306185, 'learning_rate': 0.1500819040953708, 'loss': 'ls', 'max_depth': 16, 'max_features': 0.41232531417556273, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.8845066637792363, 'min_samples_leaf': 0.19657929151382586, 'min_samples_split': 0.15355674768201677, 'min_weight_fraction_leaf': 0.21612686704420325, 'n_estimators': 400, 'subsample': 0.6045436980913037}",-1.201604698557178
GradientBoostingRegressor(),"{'alpha': 0.12608920991435524, 'ccp_alpha': 0.04846516623665387, 'learning_rate': 0.9372119400839268, 'loss': 'ls', 'max_depth': 2, 'max_features': 0.3271447514807748, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.677841023943761, 'min_samples_leaf': 0.09957971482268341, 'min_samples_split': 0.39104817789090196, 'min_weight_fraction_leaf': 0.4670132124053925, 'n_estimators': 200, 'subsample': 0.656782393070885}",-1.2053992564718934
GradientBoostingRegressor(),"{'alpha': 0.6264173309769009, 'ccp_alpha': 0.005791882802943071, 'learning_rate': 0.03963923062453778, 'loss': 'ls', 'max_depth': 16, 'max_features': 0.5180083681001652, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.48486894957393534, 'min_samples_leaf': 0.01144146844090671, 'min_samples_split': 0.0386722679140834, 'min_weight_fraction_leaf': 0.4276546312549773, 'n_estimators': 200, 'subsample': 0.09623336488132705}",-1.2067018507964469
GradientBoostingRegressor(),"{'alpha': 0.6279274481806656, 'ccp_alpha': 0.17415576502292962, 'learning_rate': 0.32496545383425746, 'loss': 'ls', 'max_depth': 2, 'max_features': 0.48892779462967695, 'max_leaf_nodes': 8, 'min_impurity_decrease': 0.5421158201322557, 'min_samples_leaf': 0.17643459123882654, 'min_samples_split': 0.2898988366598775, 'min_weight_fraction_leaf': 0.03150592620005693, 'n_estimators': 400, 'subsample': 0.49620334137653455}",-1.206854646270348
GradientBoostingRegressor(),"{'alpha': 0.5715564795496717, 'ccp_alpha': 0.11659729531896679, 'learning_rate': 0.7913062574624942, 'loss': 'ls', 'max_depth': 2, 'max_features': 0.1410647234705793, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.2630895040323228, 'min_samples_leaf': 0.2929142921439542, 'min_samples_split': 0.15966472100273255, 'min_weight_fraction_leaf': 0.3509243419080022, 'n_estimators': 200, 'subsample': 0.9867829291762522}",-1.2093227697645683
GradientBoostingRegressor(),"{'alpha': 0.11768585278559618, 'ccp_alpha': 0.08849178961513193, 'learning_rate': 0.13008628049477455, 'loss': 'ls', 'max_depth': 16, 'max_features': 0.41238097453596445, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.7440548169002528, 'min_samples_leaf': 0.38451198867672093, 'min_samples_split': 0.12153831642106716, 'min_weight_fraction_leaf': 0.1692320256465607, 'n_estimators': 100, 'subsample': 0.8945823424110393}",-1.2094502344258564
RandomForestRegressor(),"{'ccp_alpha': 0.05394807430478654, 'criterion': 'mse', 'max_depth': 32, 'max_features': 0.5234386159845551, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.10578436905293098, 'min_samples_leaf': 0.16019666393642545, 'min_samples_split': 0.23320815546789975, 'min_weight_fraction_leaf': 0.25912173080774864, 'n_estimators': 50}",-1.2101848625378033
RandomForestRegressor(),"{'ccp_alpha': 0.019454451882791046, 'criterion': 'mae', 'max_depth': 8, 'max_features': 0.8944428600270651, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.038736893138328954, 'min_samples_leaf': 0.028541907522812715, 'min_samples_split': 0.11618121903130718, 'min_weight_fraction_leaf': 0.2897612151784835, 'n_estimators': 50}",-1.210536367204371
RandomForestRegressor(),"{'ccp_alpha': 0.07420696717120645, 'criterion': 'mse', 'max_depth': 16, 'max_features': 0.9931388022848838, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.15788994542656865, 'min_samples_leaf': 0.2136390768942405, 'min_samples_split': 0.17270327633740967, 'min_weight_fraction_leaf': 0.23025257554824902, 'n_estimators': 50}",-1.2122413797942977
RandomForestRegressor(),"{'ccp_alpha': 0.18160908344308224, 'criterion': 'mse', 'max_depth': 4, 'max_features': 0.8775129520440305, 'max_leaf_nodes': 8, 'min_impurity_decrease': 0.005389917789702214, 'min_samples_leaf': 0.12279938522260225, 'min_samples_split': 0.4418200783539812, 'min_weight_fraction_leaf': 0.4462365970226637, 'n_estimators': 50}",-1.2193263462858168
RandomForestRegressor(),"{'ccp_alpha': 0.17726787745575823, 'criterion': 'mse', 'max_depth': 4, 'max_features': 0.911387731490398, 'max_leaf_nodes': 8, 'min_impurity_decrease': 0.21285328425407857, 'min_samples_leaf': 0.16757530031937384, 'min_samples_split': 0.33631085468578803, 'min_weight_fraction_leaf': 0.4094458945736879, 'n_estimators': 600}",-1.2200339100862205
RandomForestRegressor(),"{'ccp_alpha': 0.1911597646818204, 'criterion': 'mse', 'max_depth': 16, 'max_features': 0.6824746274691178, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.17019084981195554, 'min_samples_leaf': 0.27094723766737233, 'min_samples_split': 0.540846979732354, 'min_weight_fraction_leaf': 0.42005852929961784, 'n_estimators': 200}",-1.2201106883644104
RandomForestRegressor(),"{'ccp_alpha': 0.04588327001181247, 'criterion': 'mse', 'max_depth': 32, 'max_features': 0.2528369205476856, 'max_leaf_nodes': 16, 'min_impurity_decrease': 0.1490274504344936, 'min_samples_leaf': 0.1764410128441945, 'min_samples_split': 0.3905542279716474, 'min_weight_fraction_leaf': 0.36377607548864066, 'n_estimators': 200}",-1.225864684566607
RandomForestRegressor(),"{'ccp_alpha': 0.1834797848005988, 'criterion': 'mse', 'max_depth': 16, 'max_features': 0.37253299061210243, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.1203956878540402, 'min_samples_leaf': 0.1033083851146615, 'min_samples_split': 0.3375975047549009, 'min_weight_fraction_leaf': 0.32778790097668187, 'n_estimators': 400}",-1.2267068708915843
RandomForestRegressor(),"{'ccp_alpha': 0.08542718059557919, 'criterion': 'mse', 'max_depth': 2, 'max_features': 0.21471847247960996, 'max_leaf_nodes': 16, 'min_impurity_decrease': 0.08210722400888049, 'min_samples_leaf': 0.10664309571432573, 'min_samples_split': 0.20483784664128823, 'min_weight_fraction_leaf': 0.4633917658789862, 'n_estimators': 100}",-1.229661381570129
