reg,MAE all,mean,std
ExtraTreesRegressor(),0.026637808003488715,1.0701651611186866,0.20856095399533553
NuSVR(),0.7313463807752592,1.1108391005804705,0.16458801490845432
GradientBoostingRegressor(),0.5296676568045656,1.1234122113444989,0.22588651393743578
RandomForestRegressor(),0.2842050621516569,1.126783194921989,0.2076869867109851
SVR(),0.6858821464027283,1.1461745122262637,0.20092459599896378
TweedieRegressor(),0.9751147196125461,1.1582969554618754,0.07472183282794506
AdaBoostRegressor(),0.7673869687456896,1.166958836588465,0.17056680781813402
BaggingRegressor(),0.2979026028452863,1.1682783633938203,0.19779316714739537
KNeighborsRegressor(),0.6122193690614329,1.1708930926828967,0.2319550880092578
ElasticNetCV(),1.0137305917146104,1.1848985699386794,0.07144619740069537
LassoLarsIC(),0.7525130497534701,1.196985008277111,0.163904395166216
LassoCV(),1.0083364126182202,1.2089724811150862,0.07283278705138148
HistGradientBoostingRegressor(),0.2118487076294035,1.2135922220914206,0.21712733973911083
CCA(),1.1169365670149785,1.2144630763320217,0.17366195744096458
ARDRegression(),0.7412115938345261,1.2168595650567313,0.22349759171885356
Ridge(),0.7354175789310564,1.2200921977241692,0.19480522134111888
MLPRegressor(),0.5105175532623869,1.2313238434616625,0.2931386123753511
KernelRidge(),0.7398780659136055,1.2392929176002787,0.19371581154267578
BayesianRidge(),0.7558927520535609,1.2394830629081048,0.16659783798623679
QuantileRegressor(),1.2128027751383077,1.246249874730691,0.15594177045275673
ElasticNet(),1.1754526157752863,1.2508919190635468,0.15136687882106514
HuberRegressor(),0.7207863662218896,1.2526233919805971,0.21162509503346005
OrthogonalMatchingPursuit(),0.9197371043979019,1.2533460039860067,0.21557217672584641
"RidgeCV(alphas=array([ 0.1,  1. , 10. ]))",0.7230962204923327,1.2551230566038778,0.17786634296298198
DummyRegressor(),1.216410240524528,1.2579895185324435,0.15825819750327352
LassoLars(),1.216410240524528,1.2579895185324435,0.15825819750327352
Lasso(),1.216410240524528,1.2579895185324435,0.15825819750327352
PLSRegression(),0.9227087108845601,1.2625022191407242,0.10650570288002933
LinearSVR(),0.719903402103947,1.2662463269748867,0.19952836386379125
SGDRegressor(),0.808723964587273,1.2725829148408496,0.14227430886977877
LassoLarsCV(),1.0616787943720447,1.2957977615208052,0.05466386965281765
OrthogonalMatchingPursuitCV(),1.0989849249624566,1.4037292115400857,0.15300062750047982
DecisionTreeRegressor(),0.026637808003486037,1.403848252424775,0.13398052805962332
ExtraTreeRegressor(),0.026637808003486037,1.4416849445363131,0.2640748957379712
TheilSenRegressor(max_subpopulation=10000),0.8459489459998064,1.6428443746710908,0.25689714412595993
PassiveAggressiveRegressor(),0.9468028714506875,1.7603926000772927,0.48532077169805765
GaussianProcessRegressor(),0.0266378111415636,1.7894994373869628,0.39694998026342404
RANSACRegressor(),1.52053495881801,4.011645533249393,1.2637252815118123
PLSCanonical(),5.303916631808885,5.059132417495665,1.1820391013797011
LarsCV(),1.216410240524528,9.90238654911547,16.914596267406118
TransformedTargetRegressor(),0.7229456746709418,42836895359.68751,85673790716.4779
LinearRegression(),0.7229456746709418,42836895359.68751,85673790716.4779
Lars(),115.143123814355,3.541615989473847e+17,6.740773124028172e+17
RadiusNeighborsRegressor(),0.07633535242342905,,
